fire_intensity,road_stability,aftershock_prob,structure_damage,time_elapsed,risk_class
1.1505,0.7377,0.52,0.8164,109.1,1
6.0907,0.0579,0.1156,0.7833,50.47,2
1.3339,0.848,0.8518,0.4886,62.3,1
2.4059,0.2616,0.0351,0.632,17.99,1
3.2714,0.445,0.4469,0.3141,1.72,1
8.5914,0.4885,0.7075,0.6208,60.42,2
6.6609,0.1914,0.5093,0.6089,72.14,2
5.4116,0.0379,0.708,0.528,11.9,2
0.2901,0.4445,0.9092,0.3184,10.81,1
7.3375,0.2295,0.8181,0.8756,95.93,2
3.9495,0.99,0.3119,0.2082,49.34,0
8.0205,0.085,0.2512,0.0792,17.33,2
2.5442,0.697,0.5383,0.429,115.79,1
0.5688,0.8217,0.0178,0.2553,18.18,0
8.6665,0.5359,0.5156,0.3216,50.99,2
2.2103,0.3601,0.0168,0.5378,45.15,1
4.0499,0.0444,0.6126,0.0755,93.79,2
3.161,0.5928,0.6637,0.6867,28.4,1
0.7666,0.8243,0.3252,0.6488,27.38,0
8.4322,0.2176,0.4872,0.1191,35.14,2
8.4894,0.1357,0.8277,0.195,104.18,2
9.7147,0.6051,0.8559,0.2079,42.41,2
3.8538,0.5374,0.4997,0.1849,64.32,1
9.5449,0.1313,0.8941,0.3454,88.47,2
4.4576,0.5794,0.4801,0.2869,42.82,1
6.6972,0.64,0.174,0.5376,43.69,1
0.825,0.1992,0.1387,0.85,37.72,1
8.971,0.6675,0.9166,0.007,57.02,2
2.98,0.7392,0.1817,0.9347,111.46,1
2.623,0.2051,0.5679,0.6326,76.87,2
0.0513,0.2427,0.2011,0.6484,54.81,1
5.432,0.7544,0.3466,0.8441,37.86,1
4.756,0.0916,0.105,0.6944,109.44,2
6.3637,0.4181,0.0069,0.0061,57.12,1
9.782,0.8092,0.4166,0.3368,22.21,1
9.0866,0.3216,0.6449,0.6624,81.42,2
9.1015,0.1223,0.6481,0.917,46.86,2
5.2526,0.3848,0.0733,0.1138,80.88,1
1.0402,0.4718,0.5851,0.1162,69.25,1
1.8091,0.2149,0.0363,0.342,117.41,1
9.5304,0.0094,0.7691,0.5514,85.66,2
4.1195,0.3645,0.0915,0.3031,107.43,1
8.6502,0.1297,0.6588,0.4708,49.34,2
6.7218,0.1612,0.881,0.9259,92.34,2
6.2879,0.7833,0.4802,0.4351,77.37,1
2.7556,0.4393,0.9272,0.8463,49.59,2
8.9675,0.2525,0.0384,0.8509,27.2,2
2.0689,0.2796,0.5159,0.2272,78.66,1
4.0441,0.6471,0.1783,0.8635,67.22,1
9.9357,0.923,0.238,0.6348,42.67,1
7.3573,0.9964,0.8302,0.2637,118.68,1
4.4506,0.4817,0.6777,0.39,8.52,1
5.6066,0.577,0.8066,0.9694,74.19,2
4.1126,0.033,0.7545,0.0057,56.31,2
7.2699,0.9847,0.0402,0.0231,78.84,1
3.992,0.9914,0.5819,0.6684,109.57,1
6.7015,0.2391,0.1558,0.2659,79.35,1
7.0472,0.6775,0.9023,0.2929,71.55,2
6.0956,0.7375,0.5489,0.8788,39.81,1
5.4003,0.6973,0.8323,0.682,36.75,1
2.0608,0.5564,0.4852,0.292,98.84,1
1.9916,0.4899,0.3338,0.7564,28.62,1
7.9574,0.4334,0.3718,0.1266,118.12,2
2.9033,0.5738,0.0453,0.2956,115.17,1
6.5596,0.6987,0.5537,0.7178,61.25,1
2.9962,0.7694,0.2703,0.9244,17.86,1
1.4448,0.65,0.8024,0.12,62.53,1
4.0396,0.1847,0.3818,0.6606,37.12,2
3.1027,0.8427,0.5802,0.4113,101.13,1
2.434,0.32,0.3729,0.1353,9.74,1
5.881,0.2793,0.8556,0.0878,16.25,2
2.4534,0.2834,0.2117,0.1539,80.61,1
7.4777,0.5042,0.6632,0.6663,112.73,2
7.2015,0.705,0.1376,0.3863,58.03,1
6.9526,0.765,0.6046,0.1965,84.03,1
1.0274,0.7081,0.2153,0.6152,22.33,1
9.4364,0.0455,0.2993,0.8902,104.81,2
5.0334,0.3565,0.3933,0.8342,3.14,1
8.9967,0.7024,0.893,0.4204,75.54,2
1.9858,0.5578,0.7219,0.8506,76.01,1
5.9445,0.9451,0.9124,0.2849,62.36,1
9.6541,0.6648,0.3636,0.0472,15.72,1
9.987,0.9263,0.6071,0.8888,48.79,2
0.2417,0.277,0.6651,0.5296,3.89,1
4.813,0.7714,0.39,0.1605,9.64,1
2.9142,0.1358,0.4431,0.7933,116.94,2
0.6372,0.6915,0.2228,0.2452,56.26,0
5.6962,0.6318,0.355,0.5715,61.09,1
0.0508,0.6672,0.374,0.979,31.68,1
6.1128,0.8395,0.8119,0.0354,21.93,1
8.7018,0.4949,0.7871,0.6155,76.77,2
8.836,0.6868,0.0697,0.2305,65.82,1
9.5432,0.2843,0.696,0.1056,96.63,2
7.3986,0.4799,0.3001,0.4662,77.85,2
1.8471,0.8892,0.1142,0.9635,94.2,1
4.3468,0.6898,0.7578,0.6055,76.92,1
8.859,0.0963,0.5366,0.7088,117.56,2
2.5505,0.1013,0.6724,0.2819,48.34,1
4.4331,0.4671,0.3721,0.6523,72.74,1
