severity,condition,fire_intensity,road_stability,aftershock_prob,area_risk,rescue_delay,survival_prob,risk_class
2,0.1138,2.996,0.5048,0.0127,8.9804,17.22,0.477,1
0,0.9401,3.0994,0.5433,0.9924,7.5323,12.47,0.3526,1
2,0.5509,3.9732,0.514,0.6715,2.0831,25.42,0.2989,1
2,0.5854,4.2679,0.5881,0.3169,1.7361,27.07,0.3169,1
0,0.7156,7.9978,0.0294,0.8793,2.3148,26.32,0.4372,1
0,0.6543,3.4939,0.3955,0.2584,2.5777,29.23,0.5727,0
2,0.9495,4.6823,0.6062,0.544,9.5682,0.83,0.2083,2
1,0.9498,6.2498,0.5977,0.6361,11.1147,25.19,0.13,1
2,0.8805,3.7773,0.793,0.2211,7.9499,22.55,0.2322,1
2,0.6728,8.3656,0.655,0.9784,12.4353,6.86,0.1534,2
2,0.8209,5.8745,0.9921,0.7482,14.8689,28.69,0.1583,2
2,0.7095,2.9404,0.2839,0.5578,12.3002,4.45,0.1364,2
0,0.616,7.1406,0.3592,0.1806,10.4232,20.39,0.5639,1
2,0.2157,5.2765,0.3838,0.0539,7.9874,6.75,0.4621,1
1,0.8301,5.3446,0.4658,0.3201,6.7328,12.94,0.3018,1
0,0.8386,4.8109,0.836,0.7532,1.2659,21.57,0.5049,1
1,0.6633,4.9701,0.2358,0.2693,5.9905,16.9,0.4302,1
1,0.8384,7.6536,0.776,0.5396,13.652,12.83,0.2746,1
1,0.6863,1.0298,0.4053,0.7279,12.1203,9.79,0.2951,1
1,0.286,3.3436,0.6019,0.1079,3.2408,25.19,0.5179,0
0,0.3466,0.755,0.6325,0.6853,6.9991,4.31,0.7632,0
0,0.2931,7.5325,0.3728,0.0919,12.2508,12.9,0.6058,1
1,0.4395,2.723,0.5126,0.9651,1.0108,27.11,0.3986,1
1,0.1351,8.9743,0.413,0.4884,5.8109,25.38,0.4838,1
0,0.6564,5.2658,0.0691,0.1507,12.7776,12.03,0.5076,1
0,0.4029,8.0075,0.4372,0.3424,6.0585,22.89,0.5545,1
0,0.6902,9.7893,0.0974,0.4134,1.1642,24.69,0.3627,1
2,0.4469,8.3979,0.405,0.7582,8.138,26.67,0.125,2
2,0.7135,8.6699,0.5929,0.7434,12.9261,16.34,0.05,2
2,0.4066,4.0798,0.5794,0.6119,8.8543,6.13,0.3442,1
1,0.3346,5.5172,0.6626,0.1059,3.3942,7.66,0.625,1
2,0.5464,2.5389,0.0953,0.1516,5.7636,8.87,0.3327,1
1,0.7236,1.9611,0.6521,0.0938,6.7519,17.81,0.4642,1
1,0.4135,5.0551,0.3121,0.5772,8.689,0.98,0.533,1
2,0.943,5.9505,0.399,0.8771,11.3903,19.08,0.0607,2
1,0.1353,3.3927,0.858,0.4338,1.4831,10.93,0.6766,0
2,0.4762,5.6944,0.009,0.1608,13.3448,8.86,0.1887,2
2,0.9708,8.8746,0.5884,0.558,0.1846,26.38,0.0627,1
0,0.5932,5.5672,0.5987,0.8118,5.5508,13.8,0.5976,1
2,0.4811,7.2081,0.3967,0.7417,0.4113,2.85,0.3346,1
0,0.6117,8.0531,0.237,0.8815,5.8946,24.8,0.4628,1
2,0.6183,9.8873,0.2347,0.2779,7.8872,1.43,0.1993,2
2,0.7585,6.032,0.8837,0.194,7.6752,21.8,0.2358,1
0,0.2149,8.0685,0.442,0.8798,2.4844,23.22,0.5189,1
0,0.325,9.6265,0.3309,0.6576,9.6861,10.58,0.5376,1
2,0.6225,9.4441,0.4488,0.3109,0.6717,24.74,0.2353,1
1,0.8804,1.4108,0.6694,0.7423,11.4286,15.47,0.3507,1
0,0.6057,4.0639,0.1458,0.8151,14.1997,13.9,0.4783,1
1,0.3147,3.2399,0.4494,0.615,5.0965,1.36,0.5656,1
1,0.7119,0.8693,0.5879,0.6879,7.7586,8.7,0.4253,1
1,0.7659,6.3324,0.9486,0.3753,5.6837,27.93,0.2338,1
0,0.3144,7.359,0.2525,0.5387,0.1007,11.75,0.6392,1
1,0.44,8.4813,0.3593,0.5242,5.7881,16.4,0.379,1
0,0.5809,1.2278,0.3794,0.848,11.8758,15.96,0.4981,1
1,0.5469,8.7644,0.6055,0.84,8.9398,17.71,0.29,1
2,0.4507,6.4293,0.3567,0.8327,1.5189,1.84,0.3329,1
2,0.3679,7.0395,0.5335,0.011,12.7071,10.87,0.3188,1
0,0.19,9.1062,0.7818,0.7495,7.9663,21.69,0.5217,1
2,0.1481,6.2476,0.7054,0.7587,12.6259,6.02,0.3876,1
2,0.9627,3.3587,0.4464,0.6784,8.7033,6.11,0.2066,2
1,0.8624,8.2511,0.8642,0.7563,8.3953,0.3,0.299,1
0,0.4194,3.6306,0.5581,0.842,1.5789,13.12,0.5951,0
1,0.9611,0.3423,0.5399,0.4703,2.5104,26.48,0.3208,1
1,0.7091,8.3065,0.0342,0.5021,14.5804,1.56,0.2778,2
1,0.5343,3.4519,0.9867,0.1247,3.4273,5.73,0.5829,0
1,0.5437,7.7383,0.123,0.3854,14.6618,9.3,0.35,2
1,0.175,3.6276,0.2311,0.6434,7.9787,21.95,0.373,1
1,0.1825,8.6107,0.0517,0.7804,2.0368,19.22,0.3264,1
1,0.6422,2.1951,0.64,0.2172,1.4895,12.48,0.5207,0
0,0.5983,9.7455,0.2247,0.1378,3.133,22.77,0.4181,1
2,0.2915,7.7976,0.18,0.663,13.8846,18.29,0.2408,2
1,0.9516,1.1424,0.0886,0.0019,6.2123,26.88,0.3554,1
1,0.8032,5.6578,0.1033,0.1784,5.9315,24.54,0.2828,1
1,0.2021,9.8537,0.5847,0.0291,4.6981,7.58,0.4909,1
1,0.9378,4.7107,0.6882,0.1669,2.2059,8.14,0.4641,1
1,0.9768,1.8211,0.3974,0.1813,7.3178,3.76,0.4103,1
1,0.9963,4.8478,0.4799,0.3877,1.9507,10.11,0.2664,1
2,0.1503,5.1246,0.686,0.4023,12.5322,29.99,0.2363,1
2,0.7633,7.4169,0.0174,0.8743,5.556,12.17,0.1853,2
1,0.5913,6.9885,0.3231,0.5101,5.6221,6.61,0.4627,1
2,0.7352,4.0255,0.9731,0.7234,7.1101,22.87,0.0897,1
0,0.9718,2.1802,0.5801,0.1041,6.6619,16.27,0.4297,1
1,0.7192,6.4505,0.2542,0.2254,14.9229,4.49,0.3921,1
0,0.8533,4.217,0.5217,0.7029,8.1807,11.42,0.4501,1
0,0.8802,1.3228,0.3427,0.0528,1.323,12.43,0.6092,0
1,0.8546,9.0057,0.5322,0.4866,9.1032,22.61,0.2029,1
2,0.4835,6.9122,0.1257,0.5994,2.2738,0.62,0.3517,1
0,0.3003,6.8318,0.1327,0.6021,0.4641,8.07,0.6173,1
1,0.457,8.2258,0.1435,0.0229,14.5611,15.53,0.3217,1
0,0.9027,5.2966,0.9398,0.3221,11.6031,8.07,0.5468,1
0,0.2319,8.1505,0.7329,0.6365,14.7016,18.85,0.5356,1
0,0.562,4.9809,0.1624,0.149,7.1682,14.46,0.5706,1
0,0.3099,0.6718,0.1883,0.6954,7.9839,10.85,0.6466,1
2,0.6232,4.0525,0.7308,0.7459,2.5251,28.48,0.2006,1
0,0.8768,4.9746,0.1562,0.982,3.7036,18.96,0.4407,1
0,0.8923,7.202,0.2346,0.2098,12.5782,3.9,0.4411,1
0,0.313,1.0658,0.9633,0.8251,5.3428,16.8,0.6665,0
2,0.9169,1.4002,0.2553,0.5203,12.4022,23.42,0.1749,2
0,0.6327,2.6368,0.6616,0.3735,10.6352,21.25,0.4562,1
0,0.4152,2.665,0.9786,0.1224,2.6576,5.16,0.8894,0
2,0.7374,7.3218,0.3743,0.7355,7.6117,29.17,0.0606,2
2,0.5335,2.5073,0.0175,0.2359,10.1608,13.46,0.2154,1
2,0.4402,6.331,0.2441,0.3714,3.5256,4.77,0.4415,1
0,0.7346,4.9427,0.8309,0.0625,12.4603,5.41,0.5491,1
2,0.3239,5.7329,0.8646,0.8014,8.1724,2.95,0.3995,1
2,0.3972,8.3811,0.7685,0.7666,2.4786,24.11,0.2875,1
0,0.491,4.0438,0.1131,0.7336,8.7448,3.66,0.6126,1
2,0.3283,7.7091,0.7955,0.2994,14.9957,3.75,0.3651,2
0,0.4647,4.2204,0.9187,0.1735,2.2578,25.51,0.5968,0
1,0.6143,3.5387,0.6006,0.6376,12.2514,10.34,0.4032,1
2,0.7669,9.5863,0.9409,0.4962,3.1096,0.93,0.2576,1
1,0.7905,1.8437,0.8268,0.1783,11.7358,1.56,0.4932,1
0,0.8405,0.9034,0.667,0.6859,11.0187,4.27,0.619,1
